From,To,Weight,Level,Method,IsRootedBranching
310.81,2362.18,1,31,networkx_arborescence,True
33.79,40.05,1,31,networkx_arborescence,True
3569.24,603.44,1,31,networkx_arborescence,True
38.81,7.11,1,31,networkx_arborescence,True
4.82,25.96,1,31,networkx_arborescence,True
676.78,90.85,1,31,networkx_arborescence,True
1524.49,1775.86,1,32,networkx_arborescence,True
16.27,35.89,1,32,networkx_arborescence,True
2362.18,739.6,1,32,networkx_arborescence,True
25.96,6.66,1,32,networkx_arborescence,True
31.72,35.96,1,32,networkx_arborescence,True
40.05,28.0,1,32,networkx_arborescence,True
40.05,4.55,1,32,networkx_arborescence,True
603.44,448.37,1,32,networkx_arborescence,True
7.11,23.13,1,32,networkx_arborescence,True
7.11,9.48,1,32,networkx_arborescence,True
7.77,8.23,1,32,networkx_arborescence,True
90.85,245.02,1,32,networkx_arborescence,True
1775.86,127.72,1,33,networkx_arborescence,True
23.13,8.86,1,33,networkx_arborescence,True
245.02,626.56,1,33,networkx_arborescence,True
28.0,4.57,1,33,networkx_arborescence,True
35.89,36.76,1,33,networkx_arborescence,True
35.96,1.62,1,33,networkx_arborescence,True
448.37,3932.88,1,33,networkx_arborescence,True
6.66,19.86,1,33,networkx_arborescence,True
6.66,6.92,1,33,networkx_arborescence,True
739.6,70.39,1,33,networkx_arborescence,True
8.23,16.37,1,33,networkx_arborescence,True
1.62,6.56,1,34,networkx_arborescence,True
127.72,589.98,1,34,networkx_arborescence,True
19.86,16.72,1,34,networkx_arborescence,True
36.76,42.08,1,34,networkx_arborescence,True
3932.88,232.93,1,34,networkx_arborescence,True
4.57,31.75,1,34,networkx_arborescence,True
6.92,47.2,1,34,networkx_arborescence,True
626.56,773.84,1,34,networkx_arborescence,True
70.39,724.52,1,34,networkx_arborescence,True
8.86,8.93,1,34,networkx_arborescence,True
16.72,18.63,1,35,networkx_arborescence,True
232.93,2453.64,1,35,networkx_arborescence,True
31.75,15.05,1,35,networkx_arborescence,True
42.08,13.3,1,35,networkx_arborescence,True
47.2,11.35,1,35,networkx_arborescence,True
589.98,1081.95,1,35,networkx_arborescence,True
724.52,1163.38,1,35,networkx_arborescence,True
773.84,741.11,1,35,networkx_arborescence,True
8.93,1.53,1,35,networkx_arborescence,True
1.53,7.48,1,36,networkx_arborescence,True
1081.95,813.52,1,36,networkx_arborescence,True
11.35,46.06,1,36,networkx_arborescence,True
11.35,7.05,1,36,networkx_arborescence,True
1163.38,1616.12,1,36,networkx_arborescence,True
13.3,6.05,1,36,networkx_arborescence,True
15.05,25.69,1,36,networkx_arborescence,True
2453.64,1428.58,1,36,networkx_arborescence,True
741.11,1197.56,1,36,networkx_arborescence,True
1197.56,270.95,1,37,networkx_arborescence,True
1428.58,2.55,1,37,networkx_arborescence,True
1616.12,1349.06,1,37,networkx_arborescence,True
25.69,21.85,1,37,networkx_arborescence,True
46.06,8.97,1,37,networkx_arborescence,True
6.05,29.75,1,37,networkx_arborescence,True
7.05,10.03,1,37,networkx_arborescence,True
7.05,18.09,1,37,networkx_arborescence,True
7.48,3.63,1,37,networkx_arborescence,True
813.52,1934.72,1,37,networkx_arborescence,True
10.03,37.61,1,38,networkx_arborescence,True
1349.06,2607.94,1,38,networkx_arborescence,True
18.09,5.29,1,38,networkx_arborescence,True
1934.72,13.71,1,38,networkx_arborescence,True
2.55,3350.76,1,38,networkx_arborescence,True
21.85,13.4,1,38,networkx_arborescence,True
270.95,2643.28,1,38,networkx_arborescence,True
29.75,3.12,1,38,networkx_arborescence,True
3.63,2.48,1,38,networkx_arborescence,True
8.97,19.2,1,38,networkx_arborescence,True
13.71,199.1,1,39,networkx_arborescence,True
19.2,19.83,1,39,networkx_arborescence,True
2.48,38.21,1,39,networkx_arborescence,True
2607.94,743.25,1,39,networkx_arborescence,True
2643.28,1167.74,1,39,networkx_arborescence,True
3.12,27.06,1,39,networkx_arborescence,True
3350.76,1315.46,1,39,networkx_arborescence,True
37.61,48.54,1,39,networkx_arborescence,True
5.29,7.96,1,39,networkx_arborescence,True
1167.74,417.19,1,40,networkx_arborescence,True
1315.46,4425.1,1,40,networkx_arborescence,True
19.83,10.8,1,40,networkx_arborescence,True
19.83,4.56,1,40,networkx_arborescence,True
199.1,750.74,1,40,networkx_arborescence,True
27.06,16.16,1,40,networkx_arborescence,True
38.21,1.41,1,40,networkx_arborescence,True
48.54,18.2,1,40,networkx_arborescence,True
743.25,2151.55,1,40,networkx_arborescence,True
1.41,4.52,1,41,networkx_arborescence,True
10.8,6.32,1,41,networkx_arborescence,True
16.16,11.32,1,41,networkx_arborescence,True
18.2,20.05,1,41,networkx_arborescence,True
2151.55,2248.18,1,41,networkx_arborescence,True
4.56,3.15,1,41,networkx_arborescence,True
4.56,7.19,1,41,networkx_arborescence,True
417.19,3462.57,1,41,networkx_arborescence,True
750.74,617.0,1,41,networkx_arborescence,True
11.32,18.41,1,42,networkx_arborescence,True
20.05,11.72,1,42,networkx_arborescence,True
2248.18,3136.31,1,42,networkx_arborescence,True
3.15,1.69,1,42,networkx_arborescence,True
3462.57,1182.73,1,42,networkx_arborescence,True
4.52,3.2,1,42,networkx_arborescence,True
6.32,4.14,1,42,networkx_arborescence,True
617.0,654.38,1,42,networkx_arborescence,True
7.19,13.09,1,42,networkx_arborescence,True
1.69,3.71,1,43,networkx_arborescence,True
11.72,34.96,1,43,networkx_arborescence,True
1182.73,816.98,1,43,networkx_arborescence,True
13.09,14.78,1,43,networkx_arborescence,True
18.41,15.48,1,43,networkx_arborescence,True
3.2,34.78,1,43,networkx_arborescence,True
3136.31,4005.58,1,43,networkx_arborescence,True
4.14,2.65,1,43,networkx_arborescence,True
654.38,1671.32,1,43,networkx_arborescence,True
14.78,10.38,1,44,networkx_arborescence,True
15.48,5.14,1,44,networkx_arborescence,True
2.65,27.51,1,44,networkx_arborescence,True
3.71,44.75,1,44,networkx_arborescence,True
34.78,7.01,1,44,networkx_arborescence,True
34.96,3.82,1,44,networkx_arborescence,True
4005.58,751.62,1,44,networkx_arborescence,True
816.98,350.36,1,44,networkx_arborescence,True
10.38,8.42,1,45,networkx_arborescence,True
27.51,11.01,1,45,networkx_arborescence,True
3.82,9.57,1,45,networkx_arborescence,True
350.36,2117.87,1,45,networkx_arborescence,True
44.75,13.08,1,45,networkx_arborescence,True
5.14,15.06,1,45,networkx_arborescence,True
7.01,1.83,1,45,networkx_arborescence,True
751.62,203.78,1,45,networkx_arborescence,True
1.83,7.89,1,46,networkx_arborescence,True
11.01,21.04,1,46,networkx_arborescence,True
13.08,29.5,1,46,networkx_arborescence,True
15.06,12.31,1,46,networkx_arborescence,True
203.78,3217.99,1,46,networkx_arborescence,True
2117.87,2472.03,1,46,networkx_arborescence,True
8.42,35.94,1,46,networkx_arborescence,True
9.57,17.63,1,46,networkx_arborescence,True
9.57,30.77,1,46,networkx_arborescence,True
12.31,15.95,1,47,networkx_arborescence,True
17.63,16.77,1,47,networkx_arborescence,True
21.04,4.27,1,47,networkx_arborescence,True
2472.03,2785.13,1,47,networkx_arborescence,True
29.5,29.62,1,47,networkx_arborescence,True
3217.99,296.27,1,47,networkx_arborescence,True
35.94,17.28,1,47,networkx_arborescence,True
7.89,6.86,1,47,networkx_arborescence,True
15.95,23.24,1,48,networkx_arborescence,True
16.77,26.09,1,48,networkx_arborescence,True
17.28,17.3,1,48,networkx_arborescence,True
