From,To,Weight,Level,Direction,Method
19.05,35.0,1,119,BACKWARD,ramex_back_forward_polytree_formal
3.11,19.05,1,120,BACKWARD,ramex_back_forward_polytree_formal
6.45,3.11,1,121,BACKWARD,ramex_back_forward_polytree_formal
7.16,6.45,1,122,BACKWARD,ramex_back_forward_polytree_formal
16.26,7.16,1,123,BACKWARD,ramex_back_forward_polytree_formal
35.14,16.26,1,124,BACKWARD,ramex_back_forward_polytree_formal
5.61,35.14,1,125,BACKWARD,ramex_back_forward_polytree_formal
3.56,5.61,1,126,BACKWARD,ramex_back_forward_polytree_formal
5.12,5.61,1,126,BACKWARD,ramex_back_forward_polytree_formal
47.79,5.12,1,127,BACKWARD,ramex_back_forward_polytree_formal
11.37,47.79,1,128,BACKWARD,ramex_back_forward_polytree_formal
4.22,11.37,1,129,BACKWARD,ramex_back_forward_polytree_formal
28.28,4.22,1,130,BACKWARD,ramex_back_forward_polytree_formal
27.42,28.28,1,131,BACKWARD,ramex_back_forward_polytree_formal
4.25,27.42,1,132,BACKWARD,ramex_back_forward_polytree_formal
10.31,4.25,1,133,BACKWARD,ramex_back_forward_polytree_formal
3.93,10.31,1,134,BACKWARD,ramex_back_forward_polytree_formal
6.84,5.12,1,127,BACKWARD,ramex_back_forward_polytree_formal
17.57,6.84,1,128,BACKWARD,ramex_back_forward_polytree_formal
28.49,17.57,1,129,BACKWARD,ramex_back_forward_polytree_formal
8.05,3.56,1,127,BACKWARD,ramex_back_forward_polytree_formal
9.1,28.49,1,130,BACKWARD,ramex_back_forward_polytree_formal
4.26,9.1,1,131,BACKWARD,ramex_back_forward_polytree_formal
8.09,4.26,1,132,BACKWARD,ramex_back_forward_polytree_formal
26.58,8.09,1,133,BACKWARD,ramex_back_forward_polytree_formal
22.5,26.58,1,134,BACKWARD,ramex_back_forward_polytree_formal
16.48,22.5,1,135,BACKWARD,ramex_back_forward_polytree_formal
7.71,16.48,1,136,BACKWARD,ramex_back_forward_polytree_formal
17.3,7.71,1,137,BACKWARD,ramex_back_forward_polytree_formal
17.28,17.3,1,138,BACKWARD,ramex_back_forward_polytree_formal
35.94,17.28,1,139,BACKWARD,ramex_back_forward_polytree_formal
8.42,35.94,1,140,BACKWARD,ramex_back_forward_polytree_formal
10.38,8.42,1,141,BACKWARD,ramex_back_forward_polytree_formal
14.78,10.38,1,142,BACKWARD,ramex_back_forward_polytree_formal
13.09,14.78,1,143,BACKWARD,ramex_back_forward_polytree_formal
7.19,13.09,1,144,BACKWARD,ramex_back_forward_polytree_formal
9.15,40.41,1,60,BACKWARD,ramex_back_forward_polytree_formal
9.2,40.05,1,52,BACKWARD,ramex_back_forward_polytree_formal
9.48,11.35,1,66,BACKWARD,ramex_back_forward_polytree_formal
9.57,17.63,1,134,BACKWARD,ramex_back_forward_polytree_formal
3.82,9.57,1,135,BACKWARD,ramex_back_forward_polytree_formal
34.96,3.82,1,136,BACKWARD,ramex_back_forward_polytree_formal
11.72,34.96,1,137,BACKWARD,ramex_back_forward_polytree_formal
20.05,11.72,1,138,BACKWARD,ramex_back_forward_polytree_formal
18.2,20.05,1,139,BACKWARD,ramex_back_forward_polytree_formal
48.54,18.2,1,140,BACKWARD,ramex_back_forward_polytree_formal
37.61,48.54,1,141,BACKWARD,ramex_back_forward_polytree_formal
10.03,37.61,1,142,BACKWARD,ramex_back_forward_polytree_formal
7.33,9.57,1,135,BACKWARD,ramex_back_forward_polytree_formal
14.89,7.33,1,136,BACKWARD,ramex_back_forward_polytree_formal
8.17,14.89,1,137,BACKWARD,ramex_back_forward_polytree_formal
9.53,8.17,1,138,BACKWARD,ramex_back_forward_polytree_formal
15.04,9.53,1,139,BACKWARD,ramex_back_forward_polytree_formal
1.44,15.04,1,140,BACKWARD,ramex_back_forward_polytree_formal
11.0,1.44,1,141,BACKWARD,ramex_back_forward_polytree_formal
4.72,11.0,1,142,BACKWARD,ramex_back_forward_polytree_formal
9.25,4.72,1,143,BACKWARD,ramex_back_forward_polytree_formal
9.58,5.67,1,58,BACKWARD,ramex_back_forward_polytree_formal
19.17,9.58,1,59,BACKWARD,ramex_back_forward_polytree_formal
35.27,19.17,1,60,BACKWARD,ramex_back_forward_polytree_formal
15.2,22.65,1,110,FORWARD,ramex_back_forward_polytree_formal
19.89,10.87,1,103,FORWARD,ramex_back_forward_polytree_formal
10.87,17.96,1,104,FORWARD,ramex_back_forward_polytree_formal
17.96,1.29,1,105,FORWARD,ramex_back_forward_polytree_formal
1.29,14.12,1,106,FORWARD,ramex_back_forward_polytree_formal
22.65,12.4,1,111,FORWARD,ramex_back_forward_polytree_formal
12.4,19.3,1,112,FORWARD,ramex_back_forward_polytree_formal
19.3,25.11,1,113,FORWARD,ramex_back_forward_polytree_formal
4425.1,25.11,1,114,BACKWARD,ramex_back_forward_polytree_formal
1315.46,4425.1,1,115,BACKWARD,ramex_back_forward_polytree_formal
3350.76,1315.46,1,116,BACKWARD,ramex_back_forward_polytree_formal
2.55,3350.76,1,117,BACKWARD,ramex_back_forward_polytree_formal
1428.58,2.55,1,118,BACKWARD,ramex_back_forward_polytree_formal
2453.64,1428.58,1,119,BACKWARD,ramex_back_forward_polytree_formal
232.93,2453.64,1,120,BACKWARD,ramex_back_forward_polytree_formal
3932.88,232.93,1,121,BACKWARD,ramex_back_forward_polytree_formal
448.37,3932.88,1,122,BACKWARD,ramex_back_forward_polytree_formal
603.44,448.37,1,123,BACKWARD,ramex_back_forward_polytree_formal
3569.24,603.44,1,124,BACKWARD,ramex_back_forward_polytree_formal
1518.29,3569.24,1,125,BACKWARD,ramex_back_forward_polytree_formal
1490.18,1518.29,1,126,BACKWARD,ramex_back_forward_polytree_formal
103.69,1490.18,1,127,BACKWARD,ramex_back_forward_polytree_formal
468.45,103.69,1,128,BACKWARD,ramex_back_forward_polytree_formal
2755.31,468.45,1,129,BACKWARD,ramex_back_forward_polytree_formal
1902.37,2755.31,1,130,BACKWARD,ramex_back_forward_polytree_formal
1426.09,1902.37,1,131,BACKWARD,ramex_back_forward_polytree_formal
3209.42,1426.09,1,132,BACKWARD,ramex_back_forward_polytree_formal
2248.08,3209.42,1,133,BACKWARD,ramex_back_forward_polytree_formal
136.68,2248.08,1,134,BACKWARD,ramex_back_forward_polytree_formal
47.3,136.68,1,135,BACKWARD,ramex_back_forward_polytree_formal
1553.16,47.3,1,136,BACKWARD,ramex_back_forward_polytree_formal
4379.31,1553.16,1,137,BACKWARD,ramex_back_forward_polytree_formal
423.73,4379.31,1,138,BACKWARD,ramex_back_forward_polytree_formal
835.81,423.73,1,139,BACKWARD,ramex_back_forward_polytree_formal
1610.63,835.81,1,140,BACKWARD,ramex_back_forward_polytree_formal
924.59,1610.63,1,141,BACKWARD,ramex_back_forward_polytree_formal
368.27,924.59,1,142,BACKWARD,ramex_back_forward_polytree_formal
2020.25,368.27,1,143,BACKWARD,ramex_back_forward_polytree_formal
459.22,2020.25,1,144,BACKWARD,ramex_back_forward_polytree_formal
68.85,459.22,1,145,BACKWARD,ramex_back_forward_polytree_formal
324.15,68.85,1,146,BACKWARD,ramex_back_forward_polytree_formal
497.33,324.15,1,147,BACKWARD,ramex_back_forward_polytree_formal
621.55,497.33,1,148,BACKWARD,ramex_back_forward_polytree_formal
457.97,621.55,1,149,BACKWARD,ramex_back_forward_polytree_formal
73.22,457.97,1,150,BACKWARD,ramex_back_forward_polytree_formal
2045.37,73.22,1,151,BACKWARD,ramex_back_forward_polytree_formal
427.29,2045.37,1,152,BACKWARD,ramex_back_forward_polytree_formal
4481.22,427.29,1,153,BACKWARD,ramex_back_forward_polytree_formal
25.11,1750.73,1,114,FORWARD,ramex_back_forward_polytree_formal
1750.73,459.05,1,115,FORWARD,ramex_back_forward_polytree_formal
40.05,28.0,1,52,FORWARD,ramex_back_forward_polytree_formal
28.0,4.57,1,53,FORWARD,ramex_back_forward_polytree_formal
4.57,31.75,1,54,FORWARD,ramex_back_forward_polytree_formal
8.4,31.75,1,55,BACKWARD,ramex_back_forward_polytree_formal
14.41,8.4,1,56,BACKWARD,ramex_back_forward_polytree_formal
31.75,15.05,1,55,FORWARD,ramex_back_forward_polytree_formal
15.05,25.69,1,56,FORWARD,ramex_back_forward_polytree_formal
25.69,21.85,1,57,FORWARD,ramex_back_forward_polytree_formal
21.85,13.4,1,58,FORWARD,ramex_back_forward_polytree_formal
459.05,2044.44,1,116,FORWARD,ramex_back_forward_polytree_formal
2044.44,2313.38,1,117,FORWARD,ramex_back_forward_polytree_formal
2313.38,44.99,1,118,FORWARD,ramex_back_forward_polytree_formal
44.99,3193.62,1,119,FORWARD,ramex_back_forward_polytree_formal
3193.62,588.42,1,120,FORWARD,ramex_back_forward_polytree_formal
588.42,1959.89,1,121,FORWARD,ramex_back_forward_polytree_formal
1959.89,367.23,1,122,FORWARD,ramex_back_forward_polytree_formal
367.23,2205.52,1,123,FORWARD,ramex_back_forward_polytree_formal
2205.52,1351.33,1,124,FORWARD,ramex_back_forward_polytree_formal
1351.33,3955.96,1,125,FORWARD,ramex_back_forward_polytree_formal
3955.96,108.62,1,126,FORWARD,ramex_back_forward_polytree_formal
108.62,2652.09,1,127,FORWARD,ramex_back_forward_polytree_formal
2652.09,3645.41,1,128,FORWARD,ramex_back_forward_polytree_formal
3645.41,1501.44,1,129,FORWARD,ramex_back_forward_polytree_formal
1501.44,566.47,1,130,FORWARD,ramex_back_forward_polytree_formal
566.47,2396.73,1,131,FORWARD,ramex_back_forward_polytree_formal
2396.73,1524.49,1,132,FORWARD,ramex_back_forward_polytree_formal
1524.49,1775.86,1,133,FORWARD,ramex_back_forward_polytree_formal
1775.86,127.72,1,134,FORWARD,ramex_back_forward_polytree_formal
127.72,589.98,1,135,FORWARD,ramex_back_forward_polytree_formal
