From,To,Weight,Level,ParentPath,Score,Strategy,Reason
2,45,8,5,150 -> 185 -> 131 -> 177 -> 2,0.28772235236356675,multiobjective,mantida por diversidade estrutural
159,103,10,5,150 -> 185 -> 131 -> 177 -> 159,0.3332374793366493,multiobjective,mantida por diversidade estrutural
159,59,9,5,150 -> 185 -> 131 -> 177 -> 159,0.3084364586757117,multiobjective,mantida por diversidade estrutural
159,53,8,5,150 -> 185 -> 131 -> 177 -> 159,0.2881808925602286,multiobjective,mantida por diversidade estrutural
9,198,12,5,150 -> 185 -> 131 -> 177 -> 9,0.3810680672110474,multiobjective,mantida por diversidade estrutural
9,189,9,5,150 -> 185 -> 131 -> 177 -> 9,0.30919961943185464,multiobjective,mantida por diversidade estrutural
9,51,8,5,150 -> 185 -> 131 -> 177 -> 9,0.28776591686123704,multiobjective,mantida por diversidade estrutural
160,135,9,5,150 -> 185 -> 131 -> 18 -> 160,0.311304990747522,multiobjective,mantida por diversidade estrutural
160,16,8,5,150 -> 185 -> 131 -> 18 -> 160,0.28723926274615036,multiobjective,mantida por diversidade estrutural
160,79,8,5,150 -> 185 -> 131 -> 18 -> 160,0.2860950116754803,multiobjective,mantida por diversidade estrutural
178,159,11,5,150 -> 185 -> 131 -> 18 -> 178,0.35642511567739954,multiobjective,mantida por diversidade estrutural
178,36,9,5,150 -> 185 -> 131 -> 18 -> 178,0.3101218093746451,multiobjective,mantida por diversidade estrutural
178,174,9,5,150 -> 185 -> 131 -> 18 -> 178,0.3082520479304156,multiobjective,mantida por diversidade estrutural
51,149,9,5,150 -> 185 -> 131 -> 18 -> 51,0.31149440617667434,multiobjective,mantida por diversidade estrutural
51,115,9,5,150 -> 185 -> 131 -> 18 -> 51,0.31032647688374504,multiobjective,mantida por diversidade estrutural
51,175,9,5,150 -> 185 -> 131 -> 18 -> 51,0.30884289102515916,multiobjective,mantida por diversidade estrutural
30,85,10,5,150 -> 185 -> 15 -> 126 -> 30,0.33471748849735294,multiobjective,mantida por diversidade estrutural
30,115,8,5,150 -> 185 -> 15 -> 126 -> 30,0.28656959995063436,multiobjective,mantida por diversidade estrutural
30,120,8,5,150 -> 185 -> 15 -> 126 -> 30,0.2861908120718465,multiobjective,mantida por diversidade estrutural
84,197,9,5,150 -> 185 -> 15 -> 126 -> 84,0.31059450838398206,multiobjective,mantida por diversidade estrutural
84,10,8,5,150 -> 185 -> 15 -> 126 -> 84,0.2873297986982198,multiobjective,mantida por diversidade estrutural
84,153,8,5,150 -> 185 -> 15 -> 126 -> 84,0.28728434415276516,multiobjective,mantida por diversidade estrutural
87,18,10,5,150 -> 185 -> 15 -> 126 -> 87,0.33648466933261734,multiobjective,mantida por diversidade estrutural
87,172,10,5,150 -> 185 -> 15 -> 126 -> 87,0.3342119420598901,multiobjective,mantida por diversidade estrutural
87,43,9,5,150 -> 185 -> 15 -> 126 -> 87,0.3108575927736872,multiobjective,mantida por diversidade estrutural
66,97,8,5,150 -> 185 -> 15 -> 93 -> 66,0.28690143096077986,multiobjective,mantida por diversidade estrutural
66,23,8,5,150 -> 185 -> 15 -> 93 -> 66,0.2858233423826913,multiobjective,mantida por diversidade estrutural
66,13,8,5,150 -> 185 -> 15 -> 93 -> 66,0.2853862794456284,multiobjective,mantida por diversidade estrutural
166,81,10,5,150 -> 185 -> 15 -> 93 -> 166,0.3335406658294469,multiobjective,mantida por diversidade estrutural
166,72,9,5,150 -> 185 -> 15 -> 93 -> 166,0.31137370616474125,multiobjective,mantida por diversidade estrutural
166,135,8,5,150 -> 185 -> 15 -> 93 -> 166,0.28731280710609614,multiobjective,mantida por diversidade estrutural
21,80,10,5,150 -> 185 -> 15 -> 93 -> 21,0.33426397375812394,multiobjective,mantida por diversidade estrutural
21,20,9,5,150 -> 185 -> 15 -> 93 -> 21,0.3094360612307964,multiobjective,mantida por diversidade estrutural
21,113,8,5,150 -> 185 -> 15 -> 93 -> 21,0.2891536032489234,multiobjective,mantida por diversidade estrutural
68,163,9,5,150 -> 185 -> 15 -> 92 -> 68,0.3098998166730619,multiobjective,mantida por diversidade estrutural
68,62,8,5,150 -> 185 -> 15 -> 92 -> 68,0.2865102747531594,multiobjective,mantida por diversidade estrutural
68,89,8,5,150 -> 185 -> 15 -> 92 -> 68,0.28628300202588663,multiobjective,mantida por diversidade estrutural
27,54,11,5,150 -> 185 -> 15 -> 92 -> 27,0.35617358399298144,multiobjective,mantida por diversidade estrutural
27,60,9,5,150 -> 185 -> 15 -> 92 -> 27,0.31035414447910603,multiobjective,mantida por diversidade estrutural
27,71,8,5,150 -> 185 -> 15 -> 92 -> 27,0.28820200047974404,multiobjective,mantida por diversidade estrutural
167,161,10,5,150 -> 185 -> 15 -> 92 -> 167,0.33469452147128037,multiobjective,mantida por diversidade estrutural
167,122,9,5,150 -> 185 -> 15 -> 92 -> 167,0.3112569672507871,multiobjective,mantida por diversidade estrutural
167,56,8,5,150 -> 185 -> 15 -> 92 -> 167,0.2877662498192359,multiobjective,mantida por diversidade estrutural
162,165,10,5,150 -> 185 -> 149 -> 48 -> 162,0.335939039985429,multiobjective,mantida por diversidade estrutural
162,7,8,5,150 -> 185 -> 149 -> 48 -> 162,0.28672145142407984,multiobjective,mantida por diversidade estrutural
162,176,8,5,150 -> 185 -> 149 -> 48 -> 162,0.2858724441095553,multiobjective,mantida por diversidade estrutural
111,78,10,5,150 -> 185 -> 149 -> 48 -> 111,0.3341082841630601,multiobjective,mantida por diversidade estrutural
111,110,10,5,150 -> 185 -> 149 -> 48 -> 111,0.33136046700846333,multiobjective,mantida por diversidade estrutural
111,108,9,5,150 -> 185 -> 149 -> 48 -> 111,0.31002526776524414,multiobjective,mantida por diversidade estrutural
45,141,10,5,150 -> 185 -> 149 -> 48 -> 45,0.331423574365748,multiobjective,mantida por diversidade estrutural
45,100,8,5,150 -> 185 -> 149 -> 48 -> 45,0.28743178878552766,multiobjective,mantida por diversidade estrutural
45,153,7,5,150 -> 185 -> 149 -> 48 -> 45,0.26345357276309433,multiobjective,mantida por diversidade estrutural
1,47,9,5,150 -> 185 -> 149 -> 151 -> 1,0.31146335367347605,multiobjective,mantida por diversidade estrutural
1,181,9,5,150 -> 185 -> 149 -> 151 -> 1,0.3088118385219609,multiobjective,mantida por diversidade estrutural
1,66,9,5,150 -> 185 -> 149 -> 151 -> 1,0.3078866025557413,multiobjective,mantida por diversidade estrutural
56,40,10,5,150 -> 185 -> 149 -> 151 -> 56,0.33467292385170194,multiobjective,mantida por diversidade estrutural
56,102,8,5,150 -> 185 -> 149 -> 151 -> 56,0.2857906362465619,multiobjective,mantida por diversidade estrutural
56,9,8,5,150 -> 185 -> 149 -> 151 -> 56,0.2836278796483215,multiobjective,mantida por diversidade estrutural
104,195,10,5,150 -> 185 -> 149 -> 151 -> 104,0.3344620969024227,multiobjective,mantida por diversidade estrutural
